timestamp,experiment_id,model,cycle,prompt,temperature,top_p,top_k,response,total_duration_ms,load_duration_ms,eval_duration_ms,prompt_eval_count,eval_count,tokens_per_second,response_chars,quality_score,notes
2026-06-02T16:45:12.148163,exp_a,gemma3:4b,1,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí te lo explico:

*   **Inteligencia Artificial (IA)** es el concepto amplio de crear máquinas que imiten el pensamiento humano.
*   **Machine Learning (ML)** es un subconjunto de la IA que permite a las máquinas aprender de los datos sin programación explícita.
*   **IA Generativa** es un",3616.38,241.03,3202.79,33,133,41.53,542,7.61,
2026-06-02T16:45:15.466794,exp_a,gemma3:4b,2,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que puedan imitar la inteligencia humana.
*   **Machine Learning (ML)** es un *tipo* de IA que permite a las máquinas aprender de los datos sin ser programadas ",3311.29,200.07,3043.88,33,141,46.32,571,7.62,
2026-06-02T16:45:18.685385,exp_a,gemma3:4b,3,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que imiten la inteligencia humana.
*   **Machine Learning (ML)** es un subconjunto de la IA que permite a las máquinas aprender de los datos sin programación ex",3211.38,201.1,2944.78,33,136,46.18,555,7.57,
2026-06-02T16:45:22.049371,exp_a,gemma3:4b,4,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Aquí te presento una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que imiten la inteligencia humana.
*   **Machine Learning (ML)** es un *tipo* de IA que permite a las máquinas aprender de los datos sin ser programadas explícita",3355.98,191.1,3097.37,33,143,46.17,587,7.63,
2026-06-02T16:45:25.501265,exp_a,gemma3:4b,5,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto amplio de crear máquinas que puedan imitar la inteligencia humana.
*   **Machine Learning (ML)** es un *tipo* de IA que permite a las máquinas aprender de los datos sin programación expl",3445.64,203.52,3173.69,33,147,46.32,593,7.53,
2026-06-02T16:45:29.117236,exp_a,gemma3:4b,6,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto amplio de crear máquinas que puedan imitar la inteligencia humana.
*   **Machine Learning (ML)** es un subconjunto de la IA que se enfoca en permitir que las máquinas aprendan de los dat",3609.88,197.15,3331.17,33,144,43.23,588,7.49,
2026-06-02T16:45:32.808157,exp_a,gemma3:4b,7,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que imiten la inteligencia humana.
*   **Machine Learning (ML)** es una *técnica* para lograr la IA, donde las máquinas aprenden de los datos sin programación e",3686.45,229.44,3366.91,33,139,41.28,550,7.63,
2026-06-02T16:45:36.060535,exp_a,gemma3:4b,8,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que puedan imitar la inteligencia humana.
*   **Machine Learning (ML)** es un *tipo* de IA que permite a las máquinas aprender de los datos sin ser programadas explíci",3245.76,199.47,2978.66,33,136,45.66,559,7.62,
2026-06-02T16:45:39.686923,exp_a,gemma3:4b,9,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que puedan imitar la inteligencia humana.
*   **Machine Learning (ML)** es un subconjunto de la IA que se enfoca en permitir que las máquinas aprendan de los da",3619.97,200.36,3347.25,33,155,46.31,631,7.46,
2026-06-02T16:45:43.009315,exp_a,gemma3:4b,10,"Explica en menos de 100 palabras la diferencia entre Inteligencia Artificial, Ma",0.7,0.9,40,"Claro, aquí tienes una explicación en menos de 100 palabras:

*   **Inteligencia Artificial (IA)** es el concepto general de crear máquinas que imiten la inteligencia humana.
*   **Machine Learning (ML)** es una *forma* de IA donde las máquinas aprenden de los datos sin ser programadas explícitament",3316.36,204.42,3045.0,33,141,46.31,558,7.61,
